MODEL_VARIANT,LR,WARMUP_STEPS,CONTEXT_LEN,BETA2,BATCH_SIZE,N_LAYERS,N_HEADS,D_MODEL,D_FF,val_acc_last,time_sec
tinygpt,0.001,200,32,0.999,32,2,2,128,512,0.375,19.192834854125977
tinygpt,0.0007,300,32,0.999,32,2,2,128,512,0.37109375,16.542766094207764
tinygpt,0.0013000000000000002,600,32,0.9,32,2,2,128,512,0.37109375,17.09809899330139
tinygpt,0.0013000000000000002,600,32,0.98,32,2,2,128,512,0.37109375,19.381420850753784
tinygpt,0.001,100,32,0.98,32,2,2,128,512,0.37109375,17.800627946853638
tinygpt,0.001,100,32,0.999,32,2,2,128,512,0.37109375,19.21156597137451
tinygpt,0.001,150,32,0.98,32,2,2,128,512,0.3671875,16.44510006904602
tinygpt,0.001,300,32,0.98,32,2,2,128,512,0.3671875,16.596903800964355
tinygpt,0.001,600,32,0.999,32,2,2,128,512,0.3671875,17.16809391975403
tinygpt,0.0013000000000000002,600,32,0.999,32,2,2,128,512,0.3671875,20.500658988952637
tinygpt,0.0007,150,32,0.98,32,2,2,128,512,0.36328125,17.02708601951599
tinygpt,0.001,300,32,0.9,32,2,2,128,512,0.36328125,17.179134845733643
tinygpt,0.001,300,32,0.95,32,2,2,128,512,0.36328125,16.59993600845337
tinygpt,0.0013000000000000002,600,32,0.95,32,2,2,128,512,0.36328125,16.852416038513184
tinygpt,0.0007,200,32,0.98,32,2,2,128,512,0.36328125,19.8784339427948
tinygpt,0.0007,200,32,0.999,32,2,2,128,512,0.36328125,19.569859981536865
tinygpt,0.001,50,32,0.9,32,2,2,128,512,0.36328125,19.622437000274658
tinygpt,0.001,50,32,0.98,32,2,2,128,512,0.36328125,19.25568413734436
tinygpt,0.001,100,32,0.9,32,2,2,128,512,0.36328125,17.82029700279236
tinygpt,0.0013000000000000002,50,32,0.95,32,2,2,128,512,0.36328125,18.67563486099243
tinygpt,0.0007,150,32,0.999,32,2,2,128,512,0.359375,16.674158096313477
tinygpt,0.0007,600,32,0.999,32,2,2,128,512,0.359375,16.753530025482178
tinygpt,0.001,150,32,0.9,32,2,2,128,512,0.359375,16.669923067092896
tinygpt,0.001,150,32,0.95,32,2,2,128,512,0.359375,16.502041816711426
tinygpt,0.001,100,32,0.95,32,2,2,128,512,0.359375,18.11815881729126
tinygpt,0.001,200,32,0.9,32,2,2,128,512,0.359375,19.100626945495605
tinygpt,0.001,200,32,0.98,32,2,2,128,512,0.359375,18.04670000076294
tinygpt,0.0013000000000000002,50,32,0.9,32,2,2,128,512,0.359375,19.005331993103027
tinygpt,0.0007,300,32,0.98,32,2,2,128,512,0.35546875,16.79575276374817
tinygpt,0.001,600,32,0.9,32,2,2,128,512,0.35546875,16.905261993408203
tinygpt,0.001,600,32,0.95,32,2,2,128,512,0.35546875,16.73941707611084
tinygpt,0.001,600,32,0.98,32,2,2,128,512,0.35546875,16.945247173309326
tinygpt,0.0007,50,32,0.95,32,2,2,128,512,0.35546875,19.565505743026733
tinygpt,0.001,50,32,0.95,32,2,2,128,512,0.35546875,19.829596996307373
tinygpt,0.0013000000000000002,50,32,0.98,32,2,2,128,512,0.35546875,20.23621416091919
tinygpt,0.0007,50,32,0.9,32,2,2,128,512,0.3515625,20.662041902542114
tinygpt,0.0007,100,32,0.95,32,2,2,128,512,0.3515625,19.923446893692017
tinygpt,0.0007,100,32,0.999,32,2,2,128,512,0.3515625,19.60244584083557
tinygpt,0.0007,150,32,0.95,32,2,2,128,512,0.34765625,16.94567084312439
tinygpt,0.001,200,32,0.95,32,2,2,128,512,0.34765625,18.103854179382324
tinygpt,0.0007,300,32,0.9,32,2,2,128,512,0.34375,16.49430823326111
tinygpt,0.0007,300,32,0.95,32,2,2,128,512,0.34375,16.486475944519043
tinygpt,0.0007,100,32,0.9,32,2,2,128,512,0.34375,19.030117988586426
tinygpt,0.0007,100,32,0.98,32,2,2,128,512,0.34375,19.471004009246826
tinygpt,0.0007,200,32,0.9,32,2,2,128,512,0.34375,18.983203172683716
tinygpt,0.0007,200,32,0.95,32,2,2,128,512,0.34375,19.32965111732483
tinygpt,0.0007,150,32,0.9,32,2,2,128,512,0.33984375,17.25145196914673
tinygpt,0.0007,600,32,0.98,32,2,2,128,512,0.33984375,16.73367404937744
tinygpt,0.0007,50,32,0.98,32,2,2,128,512,0.33984375,21.54324984550476
tinygpt,0.0007,50,32,0.999,32,2,2,128,512,0.33984375,19.338813066482544
tinygpt,0.0007,600,32,0.9,32,2,2,128,512,0.33203125,16.719475030899048
tinygpt,0.0007,600,32,0.95,32,2,2,128,512,0.33203125,16.656313180923462
